timestamp,symbol,event,base_price,current_price,change_percent,signal,paper_action,notes
38:52.0,GOOGL,SIGNAL_CHECK,400.8,400.8,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
38:52.3,BTC,SIGNAL_CHECK,80861.82,80845.84,-0.02,NO_SIGNAL,PAPER EVALUATION: no trade signal,
38:52.6,ETH,SIGNAL_CHECK,2330.83,2330.38,-0.02,NO_SIGNAL,PAPER EVALUATION: no trade signal,
39:40.1,AAPL,BASE_PRICE_SAVED,293.32,,,,,Base price saved for strategy comparison.
39:40.4,MSFT,BASE_PRICE_SAVED,415.12,,,,,Base price saved for strategy comparison.
39:40.7,TSLA,BASE_PRICE_SAVED,428.35,,,,,Base price saved for strategy comparison.
39:41.0,NVDA,BASE_PRICE_SAVED,215.2,,,,,Base price saved for strategy comparison.
39:41.3,META,BASE_PRICE_SAVED,609.63,,,,,Base price saved for strategy comparison.
39:41.6,AMZN,BASE_PRICE_SAVED,272.68,,,,,Base price saved for strategy comparison.
39:41.9,GOOGL,BASE_PRICE_SAVED,400.8,,,,,Base price saved for strategy comparison.
39:42.2,BTC,BASE_PRICE_SAVED,80852.76,,,,,Base price saved for strategy comparison.
39:42.4,ETH,BASE_PRICE_SAVED,2330.64,,,,,Base price saved for strategy comparison.
40:13.6,AAPL,SIGNAL_CHECK,293.32,293.32,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
40:13.9,MSFT,SIGNAL_CHECK,415.12,415.12,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
40:14.2,TSLA,SIGNAL_CHECK,428.35,428.35,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
40:14.5,NVDA,SIGNAL_CHECK,215.2,215.2,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
40:14.8,META,SIGNAL_CHECK,609.63,609.63,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
40:15.1,AMZN,SIGNAL_CHECK,272.68,272.68,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
40:15.5,GOOGL,SIGNAL_CHECK,400.8,400.8,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
40:15.8,BTC,SIGNAL_CHECK,80852.76,80852.77,0,POP_FADE,PAPER IDEA: watch for pop-and-fade setup,
40:16.1,ETH,SIGNAL_CHECK,2330.64,2330.64,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
40:47.2,AAPL,SIGNAL_CHECK,293.32,293.32,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
40:47.5,MSFT,SIGNAL_CHECK,415.12,415.12,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
40:47.8,TSLA,SIGNAL_CHECK,428.35,428.35,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
40:48.0,NVDA,SIGNAL_CHECK,215.2,215.2,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
40:48.3,META,SIGNAL_CHECK,609.63,609.63,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
40:48.7,AMZN,SIGNAL_CHECK,272.68,272.68,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
40:49.0,GOOGL,SIGNAL_CHECK,400.8,400.8,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
40:49.3,BTC,SIGNAL_CHECK,80852.76,80852.76,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
40:49.6,ETH,SIGNAL_CHECK,2330.64,2330.65,0,POP_FADE,PAPER IDEA: watch for pop-and-fade setup,
41:21.0,AAPL,SIGNAL_CHECK,293.32,293.32,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
41:21.2,MSFT,SIGNAL_CHECK,415.12,415.12,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
41:21.5,TSLA,SIGNAL_CHECK,428.35,428.35,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
41:21.8,NVDA,SIGNAL_CHECK,215.2,215.2,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
41:22.1,META,SIGNAL_CHECK,609.63,609.63,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
41:22.4,AMZN,SIGNAL_CHECK,272.68,272.68,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
41:22.7,GOOGL,SIGNAL_CHECK,400.8,400.8,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
41:23.0,BTC,SIGNAL_CHECK,80852.76,80852.76,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
41:23.3,ETH,SIGNAL_CHECK,2330.64,2330.64,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
41:54.4,AAPL,SIGNAL_CHECK,293.32,293.32,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
41:54.7,MSFT,SIGNAL_CHECK,415.12,415.12,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
41:55.0,TSLA,SIGNAL_CHECK,428.35,428.35,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
41:55.3,NVDA,SIGNAL_CHECK,215.2,215.2,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
41:55.7,META,SIGNAL_CHECK,609.63,609.63,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
41:56.0,AMZN,SIGNAL_CHECK,272.68,272.68,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
41:56.3,GOOGL,SIGNAL_CHECK,400.8,400.8,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
41:56.6,BTC,SIGNAL_CHECK,80852.76,80852.77,0,POP_FADE,PAPER IDEA: watch for pop-and-fade setup,
41:56.8,ETH,SIGNAL_CHECK,2330.64,2330.65,0,POP_FADE,PAPER IDEA: watch for pop-and-fade setup,
42:28.0,AAPL,SIGNAL_CHECK,293.32,293.32,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
42:28.4,MSFT,SIGNAL_CHECK,415.12,415.12,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
42:28.7,TSLA,SIGNAL_CHECK,428.35,428.35,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
42:28.9,NVDA,SIGNAL_CHECK,215.2,215.2,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
42:29.2,META,SIGNAL_CHECK,609.63,609.63,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
42:29.5,AMZN,SIGNAL_CHECK,272.68,272.68,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
42:29.8,GOOGL,SIGNAL_CHECK,400.8,400.8,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
42:30.1,BTC,SIGNAL_CHECK,80852.76,80846.01,-0.01,NO_SIGNAL,PAPER EVALUATION: no trade signal,
42:30.4,ETH,SIGNAL_CHECK,2330.64,2330.65,0,POP_FADE,PAPER IDEA: watch for pop-and-fade setup,
43:20.7,AAPL,SIGNAL_CHECK,293.32,293.32,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
43:20.9,MSFT,SIGNAL_CHECK,415.12,415.12,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
43:21.3,TSLA,SIGNAL_CHECK,428.35,428.35,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
43:21.6,NVDA,SIGNAL_CHECK,215.2,215.2,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
43:21.9,META,SIGNAL_CHECK,609.63,609.63,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
43:22.2,AMZN,SIGNAL_CHECK,272.68,272.68,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
43:22.5,GOOGL,SIGNAL_CHECK,400.8,400.8,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
43:22.8,BTC,SIGNAL_CHECK,80852.76,80894.4,0.05,POP_FADE,PAPER IDEA: watch for pop-and-fade setup,
43:23.1,ETH,SIGNAL_CHECK,2330.64,2331.51,0.04,POP_FADE,PAPER IDEA: watch for pop-and-fade setup,
44:14.1,AAPL,SIGNAL_CHECK,293.32,293.32,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
44:14.4,MSFT,SIGNAL_CHECK,415.12,415.12,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
44:14.7,TSLA,SIGNAL_CHECK,428.35,428.35,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
44:15.0,NVDA,SIGNAL_CHECK,215.2,215.2,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
44:15.3,META,SIGNAL_CHECK,609.63,609.63,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
44:15.6,AMZN,SIGNAL_CHECK,272.68,272.68,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
44:15.9,GOOGL,SIGNAL_CHECK,400.8,400.8,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
44:16.2,BTC,SIGNAL_CHECK,80852.76,80868.07,0.02,POP_FADE,PAPER IDEA: watch for pop-and-fade setup,
44:16.5,ETH,SIGNAL_CHECK,2330.64,2330.87,0.01,POP_FADE,PAPER IDEA: watch for pop-and-fade setup,
45:07.4,AAPL,SIGNAL_CHECK,293.32,293.32,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
45:07.7,MSFT,SIGNAL_CHECK,415.12,415.12,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
45:08.0,TSLA,SIGNAL_CHECK,428.35,428.35,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
45:08.3,NVDA,SIGNAL_CHECK,215.2,215.2,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
45:08.6,META,SIGNAL_CHECK,609.63,609.63,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
45:08.9,AMZN,SIGNAL_CHECK,272.68,272.68,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
45:09.2,GOOGL,SIGNAL_CHECK,400.8,400.8,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
45:09.6,BTC,SIGNAL_CHECK,80852.76,80856.19,0,POP_FADE,PAPER IDEA: watch for pop-and-fade setup,
45:09.9,ETH,SIGNAL_CHECK,2330.64,2330.62,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
46:00.8,AAPL,SIGNAL_CHECK,293.32,293.32,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
46:01.1,MSFT,SIGNAL_CHECK,415.12,415.12,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
46:01.4,TSLA,SIGNAL_CHECK,428.35,428.35,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
46:01.7,NVDA,SIGNAL_CHECK,215.2,215.2,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
46:02.0,META,SIGNAL_CHECK,609.63,609.63,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
46:02.3,AMZN,SIGNAL_CHECK,272.68,272.68,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
46:02.6,GOOGL,SIGNAL_CHECK,400.8,400.8,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
46:02.9,BTC,SIGNAL_CHECK,80852.76,80856.2,0,POP_FADE,PAPER IDEA: watch for pop-and-fade setup,
46:03.2,ETH,SIGNAL_CHECK,2330.64,2330.63,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
46:54.1,AAPL,SIGNAL_CHECK,293.32,293.32,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
46:54.4,MSFT,SIGNAL_CHECK,415.12,415.12,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
46:54.6,TSLA,SIGNAL_CHECK,428.35,428.35,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
46:54.9,NVDA,SIGNAL_CHECK,215.2,215.2,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
46:55.2,META,SIGNAL_CHECK,609.63,609.63,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
46:55.5,AMZN,SIGNAL_CHECK,272.68,272.68,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
46:55.8,GOOGL,SIGNAL_CHECK,400.8,400.8,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
46:56.2,BTC,SIGNAL_CHECK,80852.76,80867.7,0.02,POP_FADE,PAPER IDEA: watch for pop-and-fade setup,
46:56.6,ETH,SIGNAL_CHECK,2330.64,2331.18,0.02,POP_FADE,PAPER IDEA: watch for pop-and-fade setup,
47:28.4,AAPL,SIGNAL_CHECK,293.32,293.32,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
47:28.7,MSFT,SIGNAL_CHECK,415.12,415.12,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
47:29.0,TSLA,SIGNAL_CHECK,428.35,428.35,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
47:29.3,NVDA,SIGNAL_CHECK,215.2,215.2,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
47:29.6,META,SIGNAL_CHECK,609.63,609.63,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
47:29.9,AMZN,SIGNAL_CHECK,272.68,272.68,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
47:30.2,GOOGL,SIGNAL_CHECK,400.8,400.8,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
47:30.5,BTC,SIGNAL_CHECK,80852.76,80871.33,0.02,POP_FADE,PAPER IDEA: watch for pop-and-fade setup,
47:30.8,ETH,SIGNAL_CHECK,2330.64,2331.18,0.02,POP_FADE,PAPER IDEA: watch for pop-and-fade setup,
48:02.9,AAPL,SIGNAL_CHECK,293.32,293.32,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
48:03.2,MSFT,SIGNAL_CHECK,415.12,415.12,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
48:03.5,TSLA,SIGNAL_CHECK,428.35,428.35,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
48:03.8,NVDA,SIGNAL_CHECK,215.2,215.2,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
48:04.1,META,SIGNAL_CHECK,609.63,609.63,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
48:04.4,AMZN,SIGNAL_CHECK,272.68,272.68,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
48:04.7,GOOGL,SIGNAL_CHECK,400.8,400.8,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
48:05.0,BTC,SIGNAL_CHECK,80852.76,80856.2,0,POP_FADE,PAPER IDEA: watch for pop-and-fade setup,
48:05.3,ETH,SIGNAL_CHECK,2330.64,2330.82,0.01,POP_FADE,PAPER IDEA: watch for pop-and-fade setup,
48:36.8,AAPL,SIGNAL_CHECK,293.32,293.32,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
48:37.1,MSFT,SIGNAL_CHECK,415.12,415.12,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
48:37.4,TSLA,SIGNAL_CHECK,428.35,428.35,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
48:37.7,NVDA,SIGNAL_CHECK,215.2,215.2,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
